institution_name,12_Month_Enrollment
University of Houston-Victoria,1920
University of Houston,29747
Howard College,1390
Howard Payne University,764
Huston-Tillotson University,1172
University of the Incarnate Word,4542
Jacksonville College-Main Campus,272
Jarvis Christian University,852
KD Conservatory College of Film and Dramatic Arts,168
Kilgore College,2659
Lamar University,5526
Lamar State College-Orange,1109
Lamar State College-Port Arthur,1005
Laredo Beauty College Inc,196
Laredo College,3829
Texas A & M International University,6203
Lee College,4543
LeTourneau University,1461
Lincoln College of Technology-Grand Prairie,1594
Lubbock Christian University,1284
College of the Mainland,1542
University of Mary Hardin-Baylor,3265
McLennan Community College,3104
McMurry University,1062
Covenant School of Nursing and Allied Health,466
Midland College,2097
Midwestern State University,4482
William Edge Institute,65
Wade College,168
Southern Careers Institute-Austin,1638
Tint School of Makeup & Cosmetology,210
Navarro College,3191
Lone Star College System,23555
University of North Texas,27980
Northeast Texas Community College,2235
Ocean Corporation,324
Odessa College,4392
Ogle School Hair Skin Nails-Arlington,307
Ogle School Hair Skin Nails-Ft Worth,333
Our Lady of the Lake University,1295
The University of Texas Rio Grande Valley,26886
Texas Southmost College,3697
Panola College,1138
Paris Junior College,2047
Paul Quinn College,532
Prairie View A & M University,7862
Ranger College,1060
Aviation Institute of Maintenance-Houston,287
Rice University,4019
Saint Edward's University,3324
St Philip's College,2306
University of St Thomas,1780
Sam Houston State University,16176
San Antonio College,4873
San Jacinto Community College,10718
Schreiner University,1165
Seguin Beauty School-Seguin,46
St. Mary's University,2215
South Plains College,5330
South Texas Barber College Inc,60
South Texas Vocational Technical Institute-Weslaco,605
Miller-Motte College-STVT-McAllen,700
Southern Methodist University,6780
Southwest School of Business and Technical Careers-San Antonio,124
Southwest Texas Junior College,2079
Southwestern Assemblies of God University,1414
Southwestern University,1539
Stephen F Austin State University,9680
Texas State University,29221
Southwestern Adventist University,612
Southwestern Christian College,117
Sul Ross State University,1296
Tarleton State University,8699
Tarrant County College District,13262
Temple College,2905
The University of Texas Health Science Center at San Antonio,1033
The University of Texas Medical Branch at Galveston,959
Texarkana College,1859
Texas A & M University-Kingsville,4854
Texas A & M University-College Station,49050
The University of Texas at Arlington,22205
The University of Texas at Austin,38832
The University of Texas at Dallas,18716
The University of Texas at El Paso,14568
The University of Texas at Tyler,5339
Texas Christian University,9378
Texas College,967
Texas Lutheran University,1440
The University of Texas Permian Basin,2676
The University of Texas at San Antonio,23852
Texas Southern University,6468
Texas Tech University,29094
Texas Wesleyan University,1452
Texas Woman's University,8079
Trinity University,2527
The University of Texas Health Science Center at Houston,1078
Texas Tech University Health Sciences Center,1400
Tyler Junior College,6698
Universal Technical Institute of Texas Inc.,2013
UCAS University of Cosmetology Arts & Sciences-McAllen,109
Vernon College,872
Victoria Beauty & Barber College,40
Victoria College,1191
Vogue College of Cosmetology-McAllen,227
Wayland Baptist University,924
Weatherford College,2081
West Texas A & M University,5551
Western Texas College,815
Wharton County Junior College,3636
Wiley University,816
Bridgerland Technical College,809
Brigham Young University,29038
Brigham Young University-Hawaii,3269
Broadview College,151
Cameo College of Essential Beauty,202
Collectiv Academy,96
Davis Technical College,891
Utah Tech University,7174
Evans Hairstyling College-Cedar City,84
Evans Hairstyling College-St George,83
Paul Mitchell the School-Salt Lake City,170
Eagle Gate College-Murray,232
Ensign College,1768
Ogden-Weber Technical College,695
Snow College,3522
Southern Utah University,7806
Uintah Basin Technical College,215
Utah State University,18787
Utah Valley University,19832
Salt Lake Community College,7317
University of Utah,19878
Weber State University,13224
Westminster University,1719
Bennington College,716
Castleton University,1798
Champlain College,2632
Community College of Vermont,915
Goddard College,172
Northern Vermont University,1562
Middlebury College,3819
Norwich University,2714
O'Briens Aveda Institute,103
Saint Michael's College,1586
SIT Graduate Institute,0
Sterling College,136
Vermont State University,1052
University of Vermont,10949
Paul Mitchell the School-Roanoke,124
Advanced Technology Institute,680
Averett University,901
Blue Ridge Community College,1337
Bluefield University,741
Bridgewater College,1732
William & Mary,6397
Regent University,2236
Central School of Practical Nursing,16
Central Virginia Community College,1409
Christopher Newport University,4856
Allegiance Beauty School,0
Bryant & Stratton College-Virginia Beach,1589
Mountain Gateway Community College,407
Danville Community College,1224
Centura College-Virginia Beach,171
Emory & Henry University,1015
Eastern Mennonite University,897
Eastern Shore Community College,176
Ferrum College,1064
George Mason University,23432
Germanna Community College,2554
Hampden-Sydney College,996
Hampton University,3595
Hollins University,675
J Sargeant Reynolds Community College,2997
James Madison University,19212
Brightpoint Community College,2972
Liberty University,35132
Longwood University,3582
Laurel Ridge Community College,2170
University of Lynchburg,1911
Centra College,159
Mary Baldwin University,1115
University of Mary Washington,3838
Marymount University,2086
Sovah School of Health Professions,36
Mountain Empire Community College,1186
American National University,254
New River Community College,1807
Sentara College of Health Sciences,332
Tidewater Tech-Trades,876
Norfolk State University,4688
Northern Virginia Community College,17839
Old Dominion University,15696
Patrick & Henry Community College,1270
Paul D Camp Community College,422
Southside College of Health Sciences,8
Piedmont Virginia Community College,1271
Radford University,7792
Sylvain Melloul International Hair Academy,156
Randolph-Macon College,1533
Randolph College,558
Rappahannock Community College,713
Fortis College-Norfolk,564
Richard Bland College,921
Bon Secours Memorial College of Nursing,350
University of Richmond,3352
Riverside College of Health Careers,371
Roanoke College,2001
Bon Secours St Mary's Hospital School of Medical Imaging,31
Shenandoah University,2060
Southeastern Free Will Baptist Bible College,54
Southern Virginia University,1117
Southside Virginia Community College,1138
Southwest Virginia Community College,1279
Staunton School of Cosmetology,25
Strayer University-Virginia,1099
Sweet Briar College,374
Virginia Peninsula Community College,2577
Tidewater Community College,8198
University of Virginia's College at Wise,984
Virginia Highlands Community College,1019
Virginia Polytechnic Institute and State University,29197
Virginia Western Community College,1985
Virginia Commonwealth University,20525
University of Virginia-Main Campus,17560
Virginia Military Institute,1740
Asher Institute of Hampton,31
Virginia University of Lynchburg,240
Virginia State University,3659
Virginia Union University,1251
Virginia Wesleyan University,1312
Washington and Lee University,1850
Wytheville Community College,1000
Bellevue College,8032
Bellingham Technical College,1669
Big Bend Community College,1718
Central Washington University,9636
Centralia College,1871
City University of Seattle,118
Paul Mitchell the School-Richland,434
Clark College,5557
Clover Park Technical College,3324
Columbia Basin College,4757
Cornish College of the Arts,594
Divers Institute of Technology,406
Eastern Washington University,10070
Edmonds College,4389
Everett Community College,6289
Paroba College of Cosmetology,179
The Evergreen State College,2708
Pierce College District,5583
Glen Dow Academy of Hair Design,202
Gonzaga University,5254
Grays Harbor College,1537
Green River College,6707
Toni & Guy Hairdressing Academy-Shoreline,68
Heritage University,699
Highline College,4218
International Air and Hospitality Academy,549
Bastyr University,90
Highlights Beauty Schools,161
Bates Technical College,2980
Lake Washington Institute of Technology,2223
Lower Columbia College,1961
BJ's Beauty & Barber College,119
North Seattle College,2457
Northwest University,986
Olympic College,4715
Perry Technical Institute,1260
Pacific Lutheran University,2719
Peninsula College,1333
University of Puget Sound,2307
Renton Technical College,1786
Saint Martin's University,1434
South Seattle College,2558
Seattle Central College,4806
Seattle Pacific University,2766
Seattle University,4708
Shoreline Community College,3903
Skagit Valley College,3293
South Puget Sound Community College,3791
Spokane Community College,5587
Spokane Falls Community College,4256
Stylemaster College of Hair Design,77
Tacoma Community College,4941
Walla Walla Community College,2787
Walla Walla University,1412
Washington State University,24251
University of Washington-Seattle Campus,31133
Wenatchee Valley College,2641
Western Washington University,14657
Whatcom Community College,2763
Whitman College,1601
Whitworth University,2396
Yakima Valley College,3898
Alderson Broaddus University,835
Appalachian Beauty School,75
Appalachian Bible College,153
B M Spurr School of Practical Nursing,27
Ben Franklin Career Center,44
Bethany College,549
Bluefield State University,1080
Cabell County Career Technology Center,135
Charleston School of Beauty Culture,128
University of Charleston,1256
Clarksburg Beauty Academy and School of Massage Therapy,196
Concord University,1502
Davis & Elkins College,788
Fairmont State University,3151
Glenville State University,1102
Huntington Junior College,395
James Rumsey Technical Institute,129
Ralph R Willis Career and Technical Center,44
Marshall University,7488
Mercer County Technical Education Center,100
Monongalia County Technical Education Center,75
Morgantown Beauty College Inc,128
Mountain State College,44
West Virginia University at Parkersburg,1186
Potomac State College of West Virginia University,1080
Academy of Careers and Technology,142
Salem University,1085
Shepherd University,2500
Southern West Virginia Community and Technical College,1163
Fred W Eberle Technical Center,113
West Virginia State University,2025
West Virginia University Hospital Departments of Rad Tech and Nutrition,57
West Liberty University,1871
West Virginia University Institute of Technology,1244
West Virginia Wesleyan College,1130
West Virginia Junior College-Charleston,229
West Virginia Junior College-Morgantown,904
International Beauty School 4,113
West Virginia Northern Community College,765
West Virginia University,20504
Wheeling University,415
Wood County Technical Center-Practical Nursing,20
VICI Beauty School,170
Alverno College,987
Madison Area Technical College,4459
Bellin College,305
Beloit College,1100
Blackhawk Technical College,847
Cardinal Stritch University,833
Carroll University,2725
Carthage College,2623
Concordia University-Wisconsin,2280
Edgewood College,1224
Fox Valley Technical College,2475
Gateway Technical College,1813
The Professional Hair Design Academy,26
Lakeland University,830
Lakeshore Technical College,710
Lawrence University,1402
Maranatha Baptist University,531
Marian University,1148
Marquette University,8303
Mid-State Technical College,850
Milwaukee Area Technical College,5228
Milwaukee Institute of Art & Design,857
Milwaukee School of Engineering,2542
Moraine Park Technical College,1016
Mount Mary University,618
Nicolet Area Technical College,323
Northcentral Technical College,1437
Northeast Wisconsin Technical College,2963
Northland College,601
Ripon College,808
Saint Norbert College,1995
State College of Beauty Culture Inc,54
Southwest Wisconsin Technical College,786
Viterbo University,1535
Chippewa Valley Technical College,2873
Waukesha County Technical College,1790
Western Technical College,1836
University of Wisconsin-Whitewater,10010
Northwood Technical College,1268
University of Wisconsin-Eau Claire,10124
University of Wisconsin-Green Bay,5272
University of Wisconsin-La Crosse,9434
Wisconsin Lutheran College,936
University of Wisconsin-Oshkosh,8953
University of Wisconsin-Parkside,3356
Herzing University-Madison,1056
University of Wisconsin-Stout,6244
University of Wisconsin-Superior,1832
University of Wisconsin-Madison,30791
University of Wisconsin-Milwaukee,18485
University of Wisconsin-Platteville,6689
University of Wisconsin-River Falls,5211
University of Wisconsin-Stevens Point,6974
Casper College,1675
Central Wyoming College,739
Eastern Wyoming College,627
Laramie County Community College,1742
Northwest College,814
Northern Wyoming Community College District,1646
Western Wyoming Community College,1122
Cheeks Beauty Academy,39
WyoTech,338
University of Wyoming,8676
American Samoa Community College,775
Guam Community College,1038
University of Guam,2787
Northern Marianas College,1072
Institute of Beauty Careers,426
American University of Puerto Rico,379
American University of Puerto Rico,521
American Educational College,520
Antilles School of Technical Careers,549
Universidad Adventista de las Antillas,1008
Atlantic University,1239
Universidad Central de Bayamon,839
Columbia Central University-Caguas,713
Albizu University-San Juan,449
Caribbean University-Bayamon,556
Caribbean University-Carolina,193
Pontifical Catholic University of Puerto Rico-Arecibo,423
Pontifical Catholic University of Puerto Rico-Ponce,4922
CEM College-San Juan,492
Universidad Teologica del Caribe,198
Colegio Universitario de San Juan,930
Universidad Ana G. Mendez-Cupey Campus,6311
Puerto Rico Conservatory of Music,253
EDP University of Puerto Rico Inc-San Sebastian,908
Emma's Beauty Academy-Mayaguez,433
Escuela de Artes Plasticas y Diseno de Puerto Rico,327
Instituto Tecnologico de Puerto Rico-Recinto de Manati,532
Huertas College,827
Humacao Community College,550
ICPR Junior College-Arecibo,331
ICPR Junior College-Mayaguez,430
Richport Technical College,153
Instituto Tecnologico de Puerto Rico-Recinto de Guayama,398
Instituto Tecnologico de Puerto Rico-Recinto de Ponce,454
Instituto Tecnologico de Puerto Rico-Recinto de San Juan,333
Inter American University of Puerto Rico-San German,3504
Inter American University of Puerto Rico-Aguadilla,3524
Inter American University of Puerto Rico-Arecibo,3356
Inter American University of Puerto Rico-Barranquitas,1414
Inter American University of Puerto Rico-Metro,4654
Inter American University of Puerto Rico-Ponce,3526
Inter American University of Puerto Rico-Fajardo,1681
Inter American University of Puerto Rico-Guayama,1517
Inter American University of Puerto Rico-Bayamon,4150
International Technical College,145
Liceo de Arte y Tecnologia,1246
Modern Hairstyling Institute-Bayamon,195
Modern Hairstyling Institute-Arecibo,105
NUC University,12851
University of Puerto Rico-Aguadilla,2593
University of Puerto Rico-Arecibo,3397
University of Puerto Rico-Bayamon,3556
University of Puerto Rico-Carolina,2327
University of Puerto Rico at Cayey,2701
University of Puerto Rico-Humacao,2998
University of Puerto Rico-Utuado,643
University of Puerto Rico-Mayaguez,11370
University of Puerto Rico-Medical Sciences,319
University of Puerto Rico at Ponce,2436
University of Puerto Rico-Rio Piedras,12644
Universidad Ana G. Mendez-Carolina Campus,6031
Universidad del Sagrado Corazon,4206
Universidad Central Del Caribe,113
Universidad Politecnica de Puerto Rico,2034
Pontifical Catholic University of Puerto Rico-Mayaguez,1016
Universidad Ana G. Mendez-Gurabo Campus,9768
College of Micronesia-FSM,1833
Palau Community College,329
University of the Virgin Islands,1385
Stanford University,8464
Purdue University-Main Campus,33097
Blue Hills Regional Technical School,54
Parker University,538
EDP University of Puerto Rico Inc-San Juan,927
ICPR Junior College,723
City College-Hollywood,156
Meridian College,279
Georgia State University-Perimeter College,9076
Georgia Piedmont Technical College,1044
ETI School of Skilled Trades,221
Traxlers School of Hair,133
Warren County Community College,550
St. John's College,347
Bais Medrash Elyon,60
Antioch University-Los Angeles,116
Antioch University-Santa Barbara,58
Antioch University-Seattle,49
Antioch University,1
Mid-America Christian University,1663
Miller-Motte College-Tulsa,348
Ponca City Beauty College,57
Francis Tuttle Technology Center,552
Central Technology Center,252
Carrington College-Portland,396
Career Technology Center of Lackawanna County,115
Palo Alto College,2497
Sebring Career Schools-Huntsville,41
UCAS University of Cosmetology Arts & Sciences-San Antonio 410,69
Central Texas Beauty College-Round Rock,266
Athens Technical College,1055
GateWay Community College-Central City,476
Carrington College-San Leandro Campus,394
Headmasters School of Hair Design,61
The Salon Professional Academy-Nampa,123
Beckfield College-Florence,486
Dorsey College-Wayne,662
Ross Medical Education Center-Saginaw,175
Sussex County Community College,1413
Landmark College,389
Yeshiva Gedolah of Greater Detroit,55
Austin Graduate School of Theology,2
Collin County Community College District,12830
Owensboro Community and Technical College,1883
Allure Beauty College,45
Cloyd's Beauty School 3 Inc,109
Moore Norman Technology Center,673
Fayette County Career & Technical Institute Practical Nursing Program,113
Franklin County Career and Technology Center,90
Paul Mitchell the School-Knoxville,218
Ogle School Hair Skin Nails-Hurst,185
Tennessee College of Applied Technology Nashville,877
ECPI University,18509
Ms Roberts Academy of Beauty Culture,11
Paul Mitchell the School-Houston,455
Fortis Institute-Forty Fort,312
Laurel Business Institute,327
Aviation Institute of Maintenance-Philadelphia,489
Dorsey College-Roseville,1055
Moler-Pickens Beauty Academy,43
Red River Technology Center,68
Southern Union State Community College,2909
South University-Columbia,528
Clinton Technical School,40
Greene County Career and Technology Center,19
Lac Courte Oreilles Ojibwe University,171
Diesel Driving Academy-Shreveport,463
Pima Medical Institute-Mesa,1391
Platt College-Los Angeles,1067
Platt College-Aurora,330
Paul Mitchell the School-Boise,429
Educators of Beauty College of Cosmetology-Rockford,79
Northwestern College,324
Douglas J Aveda Institute,1384
Ross Medical Education Center-Brighton,96
Ross Medical Education Center-Ann Arbor,99
Dorsey School of Beauty,362
Pike-Lincoln Technical Center,26
West Virginia Junior College-United Career Institute,119
St Charles Community College,4119
University of Massachusetts Global,3183
New College of Florida,722
Montana Bible College,56
Conservatory of Recording Arts and Sciences,910
Adrian's Beauty College of Turlock,129
San Joaquin Valley College-Fresno,853
Dr. Ida Rolf Institute,57
Aveda Institute-Fort Myers,575
Elizabeth Grady School of Esthetics and Massage Therapy,235
Ross Medical Education Center-Port Huron,82
Capri Institute of Hair Design-Clifton,92
Raphael's School of Beauty Culture Inc-Alliance,454
Metro Technology Centers,395
Hussian College-Daymar College Bowling Green,58
Luna Community College,363
Grabber School of Hair Design,239
Yeshivah Gedolah Rabbinical College,31
Raphael's School of Beauty Culture Inc-Brunswick,102
Caribbean University-Ponce,346
Caribbean University-Vega Baja,127
University of Advancing Technology,955
Paradise Valley Community College,3235
Chandler-Gilbert Community College,5737
Great Plains Technology Center,263
Roane-Jackson Technical Center,31
Pioneer Technology Center,104
Portage Lakes Career Center,76
Eastern College of Health Vocations-New Orleans,119
Bell Mar Beauty College,47
Caddo Kiowa Technology Center,124
"Center for Instruction, Technology & Innovation",72
International School of Skin Nailcare & Massage Therapy,391
Palomar Institute of Cosmetology,218
Southern Oklahoma Technology Center,104
Autry Technology Center,115
Greene County Career Center,41
Canadian Valley Technology Center,412
Wilkes-Barre Area Career and Technical Center Practical Nursing,197
Meridian Technology Center,104
Waynesville Career Center,52
Capitol Beauty School,244
Morris County Vocational School District,60
Ross Medical Education Center-Roosevelt Park,252
Ross Medical Education Center-Kentwood,274
South Florida Bible College and Theological Seminary,125
Cloyd's Barber School 2 Inc,37
Universal Technical Institute of Illinois Inc,1321
Pennsylvania College of Technology,4306
Commonwealth Institute of Funeral Service,346
Delta College of Arts & Technology,352
InterCoast Colleges-Santa Ana,400
Stone Child College,150
Suffolk County Community College,13921
Las Positas College,3360
Blades School of Hair Design,71
Ogeechee Technical College,1021
Remington College-Mobile Campus,500
Southern Technical College,1526
Mercy-St Luke's School of Radiologic Technology,23
Northwest Technology Center-Alva,22
Mercer County Career Center,40
California State University-San Marcos,12390
Hairmasters Institute of Cosmetology,60
Tricoci University of Beauty Culture LLC-Bloomington,104
Interactive College of Technology-Newport,114
Miller-Motte College-McCann-Monroe,472
Ross Medical Education Center-Taylor,111
National Tractor Trailer School Inc-Liverpool,290
Interactive College of Technology,76
Butler Beauty Academy-New Castle Beauty Academy,38
NorthWest Arkansas Community College,2804
H W Brewster Technical College,273
Hodges University,547
Capital Area Career Center,189
Hair Professionals Career College,52
Alexandria School of Scientific Therapeutics,26
Empire Beauty School-Bloomfield,109
Southwest Technology Center,129
Western Area Career & Technology Center,32
Hussian College-Daymar College Clarksville,761
Nossi College of Art and Design,380
Seguin Beauty School-New Braunfels,36
Pima Medical Institute-Seattle,891
Mineral County Vocational Technical Center,40
Hypnosis Motivation Institute,234
Thanh Le College School of Cosmetology,41
Southeastern Technical College,361
Alliance Career Center,84
Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando,3100
Erwin Technical College,1206
Rosel School of Cosmetology,50
Worsham College of Mortuary Science,138
Bryan University,365
Central Pennsylvania Institute of Science and Technology,177
Northwest Educational Center,330
Sebring Career Schools-Houston,146
PCI Health Training Center,665
Hamrick School,226
Fortis College,651
Downey Adult School,421
CRU Institute of Cosmetology and Barbering,82
Modern Technology School,160
National Career Education,764
North-West College-Glendale,200
Fremont University,250
Pomona Unified School District Adult and Career Education,140
Universal College of Beauty Inc-Los Angeles 2,56
IBMC College,1028
Avalon Institute-Aurora,240
Academy of Cosmetology,213
Sunstate Academy,523
Fortis College-Smyrna,1043
Ross College-Davenport,70
Pivot Point Academy,178
Blalock's Professional Beauty College,18
Diesel Driving Academy-Baton Rouge,485
New England Hair Academy,169
Rob Roy Academy-Worcester,179
Upper Cape Cod Regional Technical School,64
All-State Career-Baltimore,942
Academy of Hair Design-Jackson,64
KC's School of Hair Design,70
Lincoln Technical Institute-Moorestown,651
MCVSD,74
National Tractor Trailer School Inc-Buffalo,156
Yeshiva Gedolah Imrei Yosef D'spinka,163
Knox County Career Center,35
Madison Adult Career Center,136
Remington College-Cleveland Campus,772
Toledo Academy of Beauty Culture-East,83
Chisholm Trail Technology Center,42
Gordon Cooper Technology Center,172
Kiamichi Technology Center-McAlester,398
YTI Career Institute-Altoona,47
Eastern Center for Arts and Technology,111
Empire Beauty School-Center City Philadelphia,263
CEM College-Humacao,275
Colegio Mayor de Tecnologia Inc,200
Institucion Chaviano de Mayaguez,115
Liceo de Arte-Dise-O y Comercio,357
Universal Technology College of Puerto Rico,533
Academy of Hair Technology,33
Mr Wayne's School of Unisex Hair Design,25
Queen City College,155
College of the Marshall Islands,881
Remington College-Fort Worth Campus,767
UCAS University of Cosmetology Arts & Sciences,26
School of Automotive Machinists & Technology,224
Nuvani Institute,29
Nuvani Institute,72
Texas College of Cosmetology-Abilene,85
Centura College-Newport News,317
Centura College-Norfolk,304
Virginia Beach City Public Schools School of Practical Nursing,20
Northwest College of Art & Design,95
University of Washington-Bothell Campus,5585
University of Washington-Tacoma Campus,4766
Huntington School of Beauty Culture,163
Valley College-Beckley,182
Valley College-Martinsburg,915
Bellus Academy-Poway,588
Capstone College,67
Central Coast College,460
Pacific College of Health and Science,82
Artistic Nails and Beauty Academy-Tampa,113
National Aviation Academy of Tampa Bay,1031
Madison Oneida BOCES-Practical Nursing Program,92
College of Health Care Professions,250
Center for Advanced Legal Studies,386
Houston Training School-Main Campus,129
Bay Mills Community College,245
Fond du Lac Tribal and Community College,547
Northwest Indian College,388
Provo College,543
CET-Coachella,119
CET-Oxnard,162
CET-Santa Maria,198
Michigan College of Beauty-Troy,287
Ogle School Hair Skin Nails-Dallas,304
Faust Institute of Cosmetology-Spirit Lake,14
Cheeks Beauty Academy,40
Colorado School of Healing Arts,66
Mt. Diablo Adult Education-Mt. Diablo USD,59
Greater Lowell Technical School,80
Academy of Hair Design-Pearl,51
Genesis Career College-Lebanon,239
Southwest College for the Deaf,66
Fortis College-Richmond,757
Midwest College of Oriental Medicine-Racine,9
Hacienda La Puente Adult Education,769
La Belle Beauty Academy,104
Hawaii Community College,1148
Robert Fiance Beauty Schools-North Plainfield,91
Long Island Beauty School-Hauppauge,85
Buckeye Joint Vocational School,104
Sandusky Career Center,187
Greater Altoona Career & Technology Center,185
Central Texas Beauty College-Temple,152
Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program,145
Empire Beauty School-Brooklyn,156
Eastern New Mexico University Ruidoso Branch Community College,184
UEI College-Ontario,1196
UEI College-Reseda,1127
Beacon College,430
Estrella Mountain Community College,4610
Heartland Community College,2107
University of the Potomac-Washington DC Campus,202
Rabbi Jacob Joseph School,84
The Salon Professional Academy-Melbourne,166
Fortis Institute-Scranton,371
Everglades University,2174
Seminar L'moros Bais Yaakov,557
Herzing University-Orlando,584
Cortiva Institute,141
College of Biblical Studies-Houston,135
Inner State Beauty School,173
Mid-EastCTC-Adult Education,231
Polaris Career Center,245
P&A Scholars Beauty School,301
The College of Health Care Professions-Northwest,2954
"School of Professional Horticulture, New York Botanical Garden",28
Fortis College,586
Alhambra Beauty College,179
UEI College-Gardena,1673
Asian-American International Beauty College,714
Copper Mountain Community College,661
Diversified Vocational College,756
UEI College-Fresno,1598
Santiago Canyon College,3453
Southern California Institute of Technology,865
Soka University of America,408
Summit College,1823
Advance Beauty College,503
Los Angeles Pacific College,115
World Mission University,151
Cannella School of Hair Design-Blue Island,15
John Amico School of Hair Design,156
Delta College Inc,306
Tri-State Cosmetology Institute,227
Frontier Community College,280
Lincoln Trail College,386
Wabash Valley College,466
American Institute of Interior Design,53
Brookline College-Tempe,696
Schiller International University,33
Coconino Community College,1592
Emma's Beauty Academy-Juana Diaz,542
Brillare Beauty Institute,139
Pima Medical Institute-Denver,1170
ASA College,5287
Ohio State School of Cosmetology-Heath,103
Yeshivas Novominsk,172
Southern Careers Institute-Corpus Christi,1000
Rabbinical College of Ohr Shimon Yisroel,222
Carroll Community College,1178
Galen College of Nursing-Tampa Bay,2237
Galen College of Nursing-San Antonio,2658
Sarasota School of Massage Therapy,141
Schuyler Steuben Chemung Tioga Allegany BOCES,56
Delaware Chenango Madison Otsego BOCES-Practical Nursing Program,17
DCI Career Institute,79
Central Susquehanna Intermediate Unit LPN Career,89
Myotherapy Massage College,71
City College-Gainesville,150
G Skin & Beauty Institute,243
Cosmetology Training Center,131
Stage One-The Hair School,104
Empire Beauty School-Malden,92
Stephanie Moss Academy,259
Capri Institute of Hair Design-Brick,75
Capri Institute of Hair Design-Kenilworth,91
Capri Institute of Hair Design-Paramus,66
Orlo School of Hair Design and Cosmetology,56
Eastland-Fairfield Career and Technical Schools,159
Empire Beauty School-Cincinnati,193
Mahoning County Career and Technical Center,64
Pickaway Ross Joint Vocational School District,193
Raphael's School of Beauty Culture Inc-Boardman,145
Scioto County Career Technical Center,186
Trumbull Career & Technical Center,131
Pacific Bible College,13
Lake Erie College of Osteopathic Medicine,8
UCAS University of Cosmetology Arts & Sciences-Harlingen,32
KaiStar,268
Empire Beauty School-Green Bay,86
Warren County Career Center,98
Paul Mitchell the School-Wichita,179
Pinnacle Institute of Cosmetology,72
Southern Careers Institute-Pharr,1136
Laurel Technical Institute,163
Florida National University-Main Campus,5218
Georgia Institute of Cosmetology,149
Nouvelle Institute,312
Franklin Technology Center Adult Education,140
Professional Technical Institution,488
South Texas College,17695
Lorain County Joint Vocational School District,44
California State University-Monterey Bay,6498
Ohio Media School-Valley View,312
EINE Inc,37
Marian Health Careers Center-Los Angeles Campus,242
Cleveland Clinic Health System-School of Diagnostic Imaging,43
Academy for Nursing and Health Occupations,661
Shawsheen Valley School of Practical Nursing,44
Shear Ego International School of Hair Design,129
Remington College-Memphis Campus,1076
Fayette Institute of Technology,39
Capella University,6898
College of Menominee Nation,96
Leech Lake Tribal College,136
Spartan College of Aeronautics & Technology,605
Stone Academy-Waterbury,224
Yukon Beauty College Inc,23
United Education Institute-Morrow,1833
Toni & Guy Hairdressing Academy-Atlanta,118
Mitchells Academy,28
Artistic Academy of Hair Design,162
Motoring Technical Training Institute,396
Mech-Tech College,3028
Baldwin Beauty School-North Austin,117
Jean Madeline Aveda Institute,297
Pacific College of Health and Science,63
Tricoci University of Beauty Culture-Indianapolis,165
Trine University-Regional/Non-Traditional Campuses,177
Pennsylvania Highlands Community College,749
Nevada Career Institute,560
Empire Beauty School-Hanover,74
Industrial Management Training Institute,121
Allen School-Jamaica,337
Premiere Career College,384
The University of Texas MD Anderson Cancer Center,423
Paul Mitchell the School-Huntsville,223
Estes Institute of Cosmetology Arts and Science,67
Baldwin Park Adult & Community Education,367
Ventura Adult and Continuing Education,184
CT Aerotech,63
Stratford School for Aviation Maintenance Technicians,77
City College-Altamonte Springs,211
Career Center of Southern Illinois,80
Crave Beauty Academy,161
Hastings Beauty School,24
Kirksville Area Technical Center,27
Southern Missouri Technical Institute,107
Saline County Career Center,23
Warrensburg Area Career Center,33
Cass Career Center,25
Applied Technology Services,192
Central College of Cosmetology,77
Southeast Missouri Hospital College of Nursing and Health Sciences,71
Messenger College,45
Union County Vocational Technical School,141
Prism Career Institute-Philadelphia,271
Clinton Essex Warren Washington BOCES,33
Jefferson Lewis BOCES-Practical Nursing Program,54
Veeb Nassau County School of Practical Nursing,192
Orange Ulster BOCES-Practical Nursing Program,34
Wayne Finger Lakes BOCES-Practical Nursing Program,223
Broome Delaware Tioga BOCES-Practical Nursing Program,30
Washington Saratoga Warren Hamilton Essex BOCES-Practical Nursing Program,34
Albany BOCES-Adult Practical Nursing Program,217
Ulster BOCES-School of Practical Nursing,50
Eastern Suffolk BOCES,276
Rockland County BOCES-Practical Nursing Program,59
New York College of Health Professions,354
Charles Stuart School of Diamond Setting,93
Penta County Joint Vocational School,48
Career and Technology Education Centers of Licking County,411
Northern Career Institute,142
Washington County Career Center-Adult Technical Training,201
Ohio Media School-Cincinnati,312
Vantage Career Center,67
Indian Capital Technology Center-Muskogee,537
Western Technology Center,121
Mid-America Technology Center,64
Eastern Oklahoma County Technology Center,61
Wes Watkins Technology Center,56
York County School of Technology-Adult & Continuing Education,218
Chester County Intermediate Unit,132
Jefferson County Dubois Area Vocational Technical Practical Nursing Program,25
Greater Johnstown Career and Technology Center,258
Mifflin County Academy of Science and Technology,51
Lenape Technical School Practical Nursing Program,149
Venango County Area Vocational Technical School,66
Lancaster County Career and Technology Center,259
Lebanon County Area Vocational Technical School,126
Indiana County Technology Center,33
Northern Tier Career Center,60
Hazleton Area Career Center,18
All-State Career School-Pittsburgh,589
Quality Technical and Beauty College,50
D'Mart Institute,286
